First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
1,16,348,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,351,16,7,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,362,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,364,16,8,8, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,366,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,37,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,376,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,377,15,4,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,378,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,38,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,388,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,391,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,396,13,3,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,4,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,400,13,1,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,401,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,406,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,412,15,5,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,413,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,421,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,423,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,424,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,426,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,43,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,430,14,3,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,435,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,44,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,461,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,476,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,478,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,48,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,484,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,489,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,492,13,3,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,493,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,494,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,500,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,504,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,506,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,52,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,55,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,57,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,59,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,6,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,60,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,61,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,62,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,65,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,73,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,75,16,0,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,76,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,77,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,78,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,79,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,8,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,84,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,85,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,86,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,89,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,94,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,95,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,96,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,98,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,102,16,0,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,105,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,106,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,108,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,109,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,11,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,112,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,115,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,116,16,8,8, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,117,16,8,8, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,12,16,7,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,129,16,7,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,132,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,137,15,4,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,139,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,140,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,142,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,144,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,145,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,147,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,157,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,16,15,3,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,160,16,9,7, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,162,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,166,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,177,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,178,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,18,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,186,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,189,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,19,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,190,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,191,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,193,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,204,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,21,15,5,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,211,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,216,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,222,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,224,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,226,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,23,15,5,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,230,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
